ATR_MIN,DIST_MIN,EXPANSION_MIN,CROSS_MAX,total_return,sharpe_ratio,max_drawdown,total_trades,total_pnl
,0.0005,,,-90.30128124279736,-96.96667028860591,90.30128124279713,2594,-9030.130000000001
,0.0005,,1.0,-18.67328521959948,-50.57682386791422,18.673285219599585,504,-1867.33
,0.0005,,2.0,-37.122170104799075,-73.78948228603046,37.12217010479935,1012,-3712.21
,0.0005,,3.0,-55.93190055399844,-88.39900108629566,55.93190055399872,1553,-5593.1900000000005
,0.0005,,4.0,-69.97756206759799,-97.66732062551057,69.97756206759786,1984,-6997.76
,0.0005,,5.0,-80.6000616015977,-101.76476106333354,80.60006160159755,2304,-8060.0
,0.0005,0.001,,-90.1986564647974,-96.99802992020878,90.19865646479711,2590,-9019.86
,0.0005,0.001,1.0,-18.67328521959948,-50.57682386791422,18.673285219599585,504,-1867.33
,0.0005,0.001,2.0,-37.092313336399066,-73.782674576511,37.092313336399364,1010,-3709.23
,0.0005,0.001,3.0,-55.90204378559843,-88.40151917202094,55.90204378559872,1551,-5590.200000000001
,0.0005,0.001,4.0,-69.947705299198,-97.68534379297824,69.94770529919786,1982,-6994.77
,0.0005,0.001,5.0,-80.5702048331977,-101.80699307530635,80.57020483319756,2302,-8057.02
,0.0005,0.002,,-83.23039347639751,-98.67766811856814,83.23039347639734,2379,-8323.029999999999
,0.0005,0.002,1.0,-18.0464955983995,-49.33597535567865,18.069865989535263,486,-1804.65
,0.0005,0.002,2.0,-34.580831002399094,-70.23568016053783,34.58083100239939,934,-3458.09
,0.0005,0.002,3.0,-52.16824143399855,-84.13112055591387,52.16824143399894,1440,-5216.82
,0.0005,0.002,4.0,-65.20340327279813,-93.79843234184271,65.20340327279823,1832,-6520.34
,0.0005,0.002,5.0,-74.75022748999794,-98.6457428830549,74.75022748999778,2124,-7475.03
,0.0005,0.003,,-65.41851431919817,-87.42157354751464,65.41851431919821,1861,-6541.85
,0.0005,0.003,1.0,-15.350701269999595,-43.96786401440411,15.413381972533077,404,-1535.07
,0.0005,0.003,2.0,-28.904885283999327,-61.68633830680825,28.904885283999622,771,-2890.49
,0.0005,0.003,3.0,-42.259251274398714,-71.36396501348942,42.25925127439908,1167,-4225.92
