ATR_MIN,DIST_MIN,EXPANSION_MIN,CROSS_MAX,Total_Return_%,Sharpe_Ratio,Win_Rate_%,Max_Drawdown_%,Profit_Factor,Total_Trades,Total_Closed_Trades,Best_Trade_%,Worst_Trade_%,Long_WinRate_%,Short_WinRate_%,Long_Trades,Short_Trades,Total_PnL,Combination_ID
,,0.003,2.0,-44.38537555399883,-83.3722125250292,4.422604422604422,44.385375553999175,0.06557078438793196,1221,1221,3.639607686902295,-1.0790691174110734,5.03,3.76,636,585,-4438.54,17
,,0.003,3.0,-69.85308024879818,-99.54073668010076,5.416453755748594,69.85308024879818,0.07020569643157698,1957,1957,3.639607686902295,-1.0790691174110734,6.16,4.65,990,967,-6985.3099999999995,18
,,0.003,4.0,-84.26748614719753,-104.3043033806181,6.155778894472362,84.26748614719769,0.0748098134460767,2388,2388,4.004605958730329,-1.5182366763926998,6.44,5.82,1288,1100,-8426.75,19
,,0.004,,-67.45679191959799,-89.62584091714878,6.971904266389179,67.4675267594728,0.09561397183226829,1922,1922,4.004605958730329,-1.5182366763926998,7.29,6.46,1194,728,-6745.68,20
,,0.004,1.0,-17.509835542399525,-44.70756205998671,5.846774193548387,17.689095260196424,0.11474182579208386,496,496,3.639607686902295,-1.0790691174110734,7.97,3.18,276,220,-1750.98,21
,,0.004,2.0,-30.095353443999244,-63.29736284357977,5.097087378640777,30.170519027438402,0.08448236760944616,824,824,3.639607686902295,-1.0790691174110734,6.09,3.85,460,364,-3009.53,22
,,0.004,3.0,-46.49453644599865,-75.2478253291443,6.374807987711213,46.5121859838764,0.09180216506844652,1302,1302,3.639607686902295,-1.0790691174110734,7.18,5.32,738,564,-4649.46,23
,,0.004,4.0,-55.41751558319835,-81.46070466535511,6.998738965952081,55.432221749543395,0.10171203202706926,1586,1586,4.004605958730329,-1.5182366763926998,7.55,6.17,954,632,-5541.75,24
,0.0005,,,-90.30128124279736,-96.96667028860591,7.208943716268311,90.30128124279713,0.087383154295259,2594,2594,3.6557459763999147,-1.0790691174110734,6.81,7.61,1307,1287,-9030.130000000001,25
,0.0005,,1.0,-18.67328521959948,-50.57682386791422,4.563492063492063,18.673285219599585,0.06758313568120236,504,504,3.1896700683650554,-1.0790691174110734,5.34,3.72,262,242,-1867.33,26
,0.0005,,2.0,-37.122170104799075,-73.78948228603046,5.237154150197629,37.12217010479935,0.0649116039811341,1012,1012,3.1896700683650554,-1.0790691174110734,5.03,5.45,517,495,-3712.21,27
,0.0005,,3.0,-55.93190055399844,-88.39900108629566,6.310367031551835,55.93190055399872,0.0780364711762938,1553,1553,3.1896700683650554,-1.0790691174110734,6.36,6.26,786,767,-5593.1900000000005,28
,0.0005,,4.0,-69.97756206759799,-97.66732062551057,7.106854838709678,69.97756206759786,0.08403848944031435,1984,1984,3.1896700683650554,-1.5182366763926998,7.05,7.16,979,1005,-6997.76,29
,0.0005,0.001,,-90.1986564647974,-96.99802992020878,7.181467181467181,90.19865646479711,0.08729497370860335,2590,2590,3.6557459763999147,-1.0790691174110734,6.83,7.54,1304,1286,-9019.86,30
,0.0005,0.001,1.0,-18.67328521959948,-50.57682386791422,4.563492063492063,18.673285219599585,0.06758313568120236,504,504,3.1896700683650554,-1.0790691174110734,5.34,3.72,262,242,-1867.33,31
,0.0005,0.001,2.0,-37.092313336399066,-73.782674576511,5.148514851485149,37.092313336399364,0.06450354411836194,1010,1010,3.1896700683650554,-1.0790691174110734,5.04,5.26,516,494,-3709.23,32
,0.0005,0.001,3.0,-55.90204378559843,-88.40151917202094,6.254029658284978,55.90204378559872,0.07778021633879603,1551,1551,3.1896700683650554,-1.0790691174110734,6.37,6.14,785,766,-5590.200000000001,33
