Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,rsi_window,entry_long,exit_long,entry_short,exit_short
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-3208.546878835934,-6517.093757671869,48.684645106865275,100.0,172.72216661531502,7045.232718402437,322 days 14:00:00,4,3,1,-1092.7854479650866,33.33333333333333,0.4853476970261626,-2.5722289133077867,0.4853476970261626,-1.3684226030529403,0 days 11:00:00,0 days 02:30:00,0.00011192566242236782,-721.9204769569495,-1.3525123639248497,3.7348460004879533,0.5196715950177271,-1.3532867762116938,9,30,60,70,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-3208.546878835934,-6517.093757671869,48.684645106865275,100.0,172.72216661531502,7045.232718402437,322 days 14:00:00,4,3,1,-1092.7854479650866,33.33333333333333,0.4853476970261626,-2.5722289133077867,0.4853476970261626,-1.3684226030529403,0 days 11:00:00,0 days 02:30:00,0.00011192566242236782,-721.9204769569495,-1.3525123639248497,3.7348460004879533,0.5196715950177271,-1.3532867762116938,9,30,60,70,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-3208.546878835934,-6517.093757671869,48.684645106865275,100.0,172.72216661531502,7045.232718402437,322 days 14:00:00,4,3,1,-1092.7854479650866,33.33333333333333,0.4853476970261626,-2.5722289133077867,0.4853476970261626,-1.3684226030529403,0 days 11:00:00,0 days 02:30:00,0.00011192566242236782,-721.9204769569495,-1.3525123639248497,3.7348460004879533,0.5196715950177271,-1.3532867762116938,9,30,60,70,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-755.1815147026281,-1610.3630294052562,48.684645106865275,100.0,176.0321400418862,944.8538209125874,322 days 06:00:00,4,3,1,-247.64718667320403,33.33333333333333,0.4853476970261626,-0.6375793822667264,0.4853476970261626,-0.4010978375324102,0 days 11:00:00,0 days 11:30:00,0.00043463879229488773,-185.84477600980327,-1.435467241139706,,0.5132012082059128,-1.4570252855044092,9,30,60,75,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-863.8649406723393,-1827.7298813446787,48.684645106865275,100.0,176.0321400418862,944.8538209125874,322 days 06:00:00,4,3,1,-283.28781631706715,33.33333333333333,0.4853476970261626,-0.7216882312983577,0.4853476970261626,-0.4431522620482258,0 days 11:00:00,0 days 06:30:00,0.00038431182875926903,-210.192374785088,-1.2978216518506358,,0.5260859242187411,-1.3162647360603454,9,30,60,75,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-843.7902250886102,-1787.5804501772204,48.684645106865275,100.0,176.0321400418862,944.8538209125874,322 days 06:00:00,4,3,1,-276.7047012105799,33.33333333333333,0.4853476970261626,-0.7061420459323295,0.4853476970261626,-0.43537916936521165,0 days 11:00:00,0 days 06:00:00,0.00039271090028652344,-205.69517462600808,-1.2983355595811903,,0.5259437974181983,-1.316779265909893,9,30,60,75,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-1502.031474982392,-3104.062949964784,48.684645106865275,100.0,170.89325515063783,3351.3030159941786,322 days 14:00:00,7,6,1,-523.7346334115778,33.33333333333333,0.5708110363840583,-2.5568530979752984,0.5280793667051105,-1.56950076511326,0 days 10:00:00,0 days 08:00:00,0.0005002321390769078,-171.38280692846743,-1.8527649271034623,-0.27927822645032707,0.6513424582104027,-1.8780633037859877,9,30,60,80,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-1311.9186784143963,-2723.8373568287925,48.684645106865275,100.0,170.89325515063783,3018.49706963046,322 days 14:00:00,7,6,1,-457.44530627310604,33.33333333333333,0.5708110363840583,-2.5568530979752984,0.5280793667051105,-1.5323789760711268,0 days 10:00:00,0 days 07:45:00,0.0005686755635608185,-150.74556202354785,-1.8314896124429518,-0.27898924567013395,0.6537622933521768,-1.8564608792176622,9,30,60,80,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-1098.4967343495252,-2296.9934686990505,48.684645106865275,100.0,170.89325515063783,3018.49706963046,322 days 14:00:00,7,6,1,-383.028447839356,33.33333333333333,0.5708110363840583,-2.5568530979752984,0.5280793667051105,-1.4908354780849127,0 days 10:00:00,0 days 07:30:00,0.0006718747240141438,-127.57804775169531,-1.776323745050842,-0.2634460976178637,0.6599725238626597,-1.7980547470242405,9,30,60,80,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-621.7615549700043,-1343.5231099400087,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-203.89468872329428,0.0,-0.5343367666307999,-0.5343367666307999,,-0.5343367666307999,,0 days 22:00:00,0.0,-467.86686624669596,-1.6388456545951857,,0.355620543260351,-1.6475100639099503,11,20,40,65,40
