short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
21,50,EMA,EMA,3.0,2.5,-98.83522650129446,-1.6675982689884532,36.67945869521309,99.08154278220039,4952,2158,2794,36.65,36.72,-494.17,EMA21/EMA50,EMA/EMA
9,200,SMA,SMA,2.5,2.5,-98.84527433529038,-1.9984082770028757,39.989014007140895,98.9236965629981,3642,1650,1992,40.12,39.91,-494.23,SMA9/SMA200,SMA/SMA
21,50,SMA,EMA,2.0,2.0,-98.85691924846525,-2.1840959522254866,44.93617021276596,98.95210705294973,4701,2102,2599,45.43,44.56,-494.28,SMA21/EMA50,SMA/EMA
20,200,SMA,EMA,3.0,3.0,-98.86979173042502,-1.8945556406629325,40.44635865309319,98.91842494739352,2554,1178,1376,40.92,40.04,-494.35,SMA20/EMA200,SMA/EMA
9,200,EMA,SMA,2.5,2.5,-98.87318164484975,-2.023340862938885,38.786420743116814,99.02495959126072,3742,1707,2035,39.07,38.57,-494.37,EMA9/SMA200,EMA/SMA
9,200,EMA,SMA,2.5,2.0,-98.8765188776633,-2.0949587062563055,37.43961352657005,99.0882206043094,3727,1701,2026,37.51,37.41,-494.38,EMA9/SMA200,EMA/SMA
21,50,SMA,EMA,1.5,3.0,-98.88846313232882,-2.1974952217671198,53.36035843823341,98.95683990357017,4688,2101,2587,53.31,53.42,-494.45,SMA21/EMA50,SMA/EMA
20,50,SMA,EMA,1.5,2.5,-98.89893368107498,-2.2475065314619087,52.4957337883959,98.95285239258371,4688,2099,2589,52.36,52.61,-494.49,SMA20/EMA50,SMA/EMA
21,50,SMA,SMA,3.0,2.0,-98.90546569073436,-1.789420385950695,37.14976819189679,99.08229985743162,4961,2117,2844,37.65,36.78,-494.53000000000003,SMA21/SMA50,SMA/SMA
9,200,EMA,SMA,3.0,2.0,-98.91738061739231,-1.9684031631514771,34.185733512786,99.13670998539907,3716,1696,2020,34.02,34.36,-494.58000000000004,EMA9/SMA200,EMA/SMA
20,50,SMA,SMA,1.5,2.5,-98.9208006009311,-2.169532891685463,52.25099601593626,99.04628988400167,5020,2119,2901,51.86,52.53,-494.6,SMA20/SMA50,SMA/SMA
