short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
20,200,EMA,SMA,2.0,1.5,6.946946381618455,0.45803750240362817,46.285714285714285,26.666685065088856,350,137,213,49.64,44.13,34.73,EMA20/SMA200,EMA/SMA
20,200,SMA,EMA,1.5,3.0,6.480944575166382,0.4307054104818007,62.05882352941177,24.30902512546748,340,122,218,67.21,59.17,32.41000000000001,SMA20/EMA200,SMA/EMA
20,200,EMA,SMA,1.5,3.0,6.024779912651888,0.4138341020185713,59.6045197740113,28.17243304249421,354,138,216,60.14,59.26,30.119999999999997,EMA20/SMA200,EMA/SMA
20,200,SMA,EMA,1.5,2.0,5.6696032851659535,0.4053817123565133,58.187134502923975,21.295002150373097,342,125,217,59.2,57.6,28.349999999999998,SMA20/EMA200,SMA/EMA
20,200,EMA,SMA,1.5,1.5,4.001156003514188,0.3375895073020802,51.714285714285715,23.38459034492869,350,137,213,53.28,50.7,20.0,EMA20/SMA200,EMA/SMA
20,200,EMA,SMA,2.5,3.0,2.8212718596178092,0.3047084025035478,49.152542372881356,39.935846182618704,354,138,216,52.9,46.76,14.100000000000001,EMA20/SMA200,EMA/SMA
12,200,SMA,SMA,1.5,2.0,-0.2095235629647959,0.1626266875481264,55.05050505050505,35.12771088817741,396,150,246,58.67,52.85,-1.0499999999999972,SMA12/SMA200,SMA/SMA
20,200,EMA,SMA,1.5,2.0,-0.2561996113543046,0.14808690986818232,55.6497175141243,25.383924988992806,354,138,216,57.97,54.17,-1.2800000000000011,EMA20/SMA200,EMA/SMA
12,200,SMA,SMA,1.5,2.5,-1.639945428096928,0.10771152670057546,56.52173913043478,34.56822352300383,391,148,243,60.14,54.32,-8.200000000000003,SMA12/SMA200,SMA/SMA
9,200,SMA,SMA,2.0,1.5,-2.89302883766029,0.06602463851746898,44.70338983050847,32.1218169697561,472,204,268,46.57,43.28,-14.459999999999994,SMA9/SMA200,SMA/SMA
20,200,SMA,EMA,1.5,1.5,-3.107305860951203,-0.0037057515286943584,52.616279069767444,21.662869603695494,344,126,218,53.97,51.83,-15.530000000000001,SMA20/EMA200,SMA/EMA
9,200,SMA,SMA,1.5,1.5,-3.484563580834674,0.005289419158354887,50.42372881355932,25.313481177888114,472,204,268,49.51,51.12,-17.419999999999995,SMA9/SMA200,SMA/SMA
20,200,EMA,SMA,3.0,3.0,-5.564090341811811,0.04629869064989954,44.35028248587571,45.888824058559734,354,138,216,46.38,43.06,-27.820000000000004,EMA20/SMA200,EMA/SMA
20,200,EMA,SMA,2.0,2.0,-7.035613225952625,-0.11870552140985416,49.858356940509914,35.27762569772782,353,137,216,53.28,47.69,-35.18,EMA20/SMA200,EMA/SMA
20,200,SMA,EMA,1.5,2.5,-7.1790975714984935,-0.14069158502983556,59.82404692082112,25.408247923556893,341,124,217,62.1,58.53,-35.89,SMA20/EMA200,SMA/EMA
20,200,SMA,EMA,2.0,2.0,-7.250731105263173,-0.10792598568826134,51.61290322580645,23.35404220053527,341,124,217,53.23,50.69,-36.25000000000001,SMA20/EMA200,SMA/EMA
20,200,EMA,SMA,2.5,2.5,-8.103601341453384,-0.0924478152613894,47.175141242937855,41.49139358019078,354,138,216,51.45,44.44,-40.510000000000005,EMA20/SMA200,EMA/SMA
20,200,SMA,EMA,2.5,2.0,-8.697031105396617,-0.12165324145265789,46.62756598240469,27.50200471282912,341,124,217,48.39,45.62,-43.49,SMA20/EMA200,SMA/EMA
12,200,SMA,SMA,1.5,3.0,-9.198546277845264,-0.21008518990355526,56.44329896907217,36.827911534066956,388,144,244,60.42,54.1,-45.989999999999995,SMA12/SMA200,SMA/SMA
9,200,SMA,SMA,3.0,1.5,-12.156123927201373,-0.21369123727910003,35.59322033898305,40.71784466711476,472,204,268,38.73,33.21,-60.77999999999999,SMA9/SMA200,SMA/SMA
20,200,EMA,SMA,2.5,1.5,-12.57823916901359,-0.3762652388006803,40.0,37.36691924600809,350,137,213,43.8,37.56,-62.89,EMA20/SMA200,EMA/SMA
20,200,SMA,EMA,2.0,1.5,-13.873453869591232,-0.4659046986403874,46.22093023255814,26.455138832310432,344,126,218,47.62,45.41,-69.36,SMA20/EMA200,SMA/EMA
9,200,SMA,SMA,2.0,3.0,-14.413655837436497,-0.35597953309789104,49.35622317596567,42.112487420112856,466,198,268,51.01,48.13,-72.06000000000002,SMA9/SMA200,SMA/SMA
20,200,EMA,SMA,3.0,2.5,-14.854875727708986,-0.3012367155334723,42.3728813559322,47.501141851726345,354,138,216,45.65,40.28,-74.27,EMA20/SMA200,EMA/SMA
9,200,SMA,SMA,2.0,2.0,-15.329805272214433,-0.43435215223953894,47.74193548387097,42.192160041979804,465,197,268,48.73,47.01,-76.65,SMA9/SMA200,SMA/SMA
9,200,SMA,SMA,2.0,2.5,-15.859148455702904,-0.42929599937324425,49.130434782608695,45.12344911787011,460,198,262,50.51,48.09,-79.3,SMA9/SMA200,SMA/SMA
