short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
9,200,EMA,EMA,3.0,2.5,3.3732742682920502,1.4304941747056845,42.30769230769231,13.476578313903238,78,34,44,44.12,40.91,16.87,EMA9/EMA200,EMA/EMA
50,200,SMA,EMA,1.5,3.0,3.2375082877841805,2.04777231718896,64.28571428571429,5.5587528674194555,28,12,16,66.67,62.5,16.189999999999998,SMA50/EMA200,SMA/EMA
9,200,SMA,EMA,3.0,2.5,3.2360286538965735,1.3420737743776172,44.73684210526316,9.871217911156108,76,33,43,48.48,41.86,16.18,SMA9/EMA200,SMA/EMA
26,200,SMA,SMA,2.5,3.0,3.1981677971838964,1.530922998036285,55.88235294117647,7.75818677316191,34,9,25,66.67,52.0,15.989999999999995,SMA26/SMA200,SMA/SMA
9,200,EMA,EMA,3.0,1.5,3.1738899484904097,1.490027539224654,38.46153846153847,8.862666854748555,78,31,47,38.71,38.3,15.87,EMA9/EMA200,EMA/EMA
50,200,EMA,SMA,3.0,2.0,3.0953771351386083,1.7805286609558726,46.42857142857143,5.779287871106137,28,10,18,40.0,50.0,15.48,EMA50/SMA200,EMA/SMA
21,26,EMA,EMA,3.0,2.5,3.0260658598245187,1.0759293697977477,42.0,14.534645943462094,100,51,49,43.14,40.82,15.13,EMA21/EMA26,EMA/EMA
12,200,EMA,EMA,2.5,3.0,3.0249262134608554,1.295545714423608,50.0,12.212788160418691,70,31,39,41.94,56.41,15.129999999999995,EMA12/EMA200,EMA/EMA
12,200,EMA,EMA,2.5,2.5,2.895135405722408,1.283146290273804,50.72463768115942,12.43352081676704,69,30,39,43.33,56.41,14.479999999999999,EMA12/EMA200,EMA/EMA
9,200,SMA,EMA,2.5,3.0,2.84299007926403,1.2611727450027954,48.68421052631579,7.885718533510125,76,33,43,48.48,48.84,14.209999999999999,SMA9/EMA200,SMA/EMA
50,200,EMA,SMA,2.0,1.5,2.77575642148654,1.9975343700748605,53.57142857142857,3.6551220425625854,28,10,18,40.0,61.11,13.879999999999999,EMA50/SMA200,EMA/SMA
