short_window,long_window,ma_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl
9,50,sma,3.0,2.0,-2.7610333293357145,-0.7037128909342028,38.775510204081634,14.740790786841554,98,48,50,35.42,42.0,-13.8
20,200,ema,1.5,2.0,-2.9785917031606117,-1.5218388254164041,56.60377358490566,7.2499190424850894,53,21,32,52.38,59.38,-14.89
12,26,ema,2.0,1.5,-3.241009014583744,-0.9271212401192563,41.73913043478261,13.893625059364862,115,56,59,32.14,50.85,-16.199999999999996
12,26,ema,1.5,1.5,-3.2747893444290868,-1.0753256733631023,48.717948717948715,8.54447894881193,117,56,61,42.86,54.1,-16.37
9,50,sma,2.0,2.5,-3.3797234585060663,-1.0061252718069367,46.391752577319586,16.577950655197913,97,49,48,42.86,50.0,-16.89
9,50,sma,2.5,2.5,-3.457433778168638,-0.9493107410828969,43.29896907216495,16.163006088637943,97,49,48,38.78,47.92,-17.29
20,200,ema,2.0,2.5,-3.7883290291219285,-1.5764641088603102,53.70370370370371,8.405110934985679,54,22,32,50.0,56.25,-18.95
9,200,ema,2.0,2.5,-4.067711473437862,-1.63590361687784,47.43589743589743,15.040885855380596,78,34,44,47.06,47.73,-20.34
9,50,sma,2.5,3.0,-4.270277730828411,-1.1974884687342888,42.57425742574257,17.05357381486313,101,49,52,38.78,46.15,-21.35
20,200,ema,2.5,2.0,-4.29513498486815,-1.639779063080621,43.39622641509434,8.361192445174757,53,21,32,47.62,40.62,-21.48
9,50,sma,1.5,3.0,-4.395682534930166,-1.6319558770711282,54.45544554455446,12.220235047620772,101,49,52,53.06,55.77,-21.979999999999997
20,200,sma,2.5,2.0,-4.506696018510695,-2.0360784049899268,41.02564102564102,9.23365017095751,39,14,25,28.57,48.0,-22.53
9,200,sma,2.5,3.0,-4.6342303958756474,-1.7890434260666266,46.875,15.211027246712122,64,27,37,44.44,48.65,-23.169999999999998
9,200,sma,2.0,2.5,-4.653046530641563,-1.9396794340400538,47.61904761904761,13.260979637749745,63,27,36,44.44,50.0,-23.27
9,50,sma,2.0,3.0,-4.679405153088475,-1.4417875834869383,45.54455445544555,17.464110586941047,101,49,52,42.86,48.08,-23.4
20,200,ema,1.5,1.5,-4.786174098823357,-2.9122109376565946,50.0,8.07452717619801,54,21,33,42.86,54.55,-23.93
9,50,sma,2.0,2.0,-5.078288307957371,-1.6491581152748231,44.89795918367347,15.982407842210439,98,48,50,43.75,46.0,-25.39
9,200,ema,1.5,1.5,-5.189144842574956,-2.9165156117310596,50.0,9.659758177872313,78,31,47,51.61,48.94,-25.95
